time,roll_angle,roll_rate,setpoint,u_cmd,battery_voltage,model,Kp,Ki,Kd
0.179984868,1.363847613,-222.3200073,0,36,4.302636623,SPRING,1.5,0,0.37
0.199984863,2.629555225,126.8837585,0,-36,4.301025391,SPRING,1.5,0,0.37
0.219984859,1.710934162,39.93500137,0,-19.57542038,4.297802925,SPRING,1.5,0,0.37
0.23998487,0.806669116,-155.3737488,0,36,4.301025391,SPRING,1.5,0,0.37
0.259984851,1.302418113,-13.78125,0,0.912367463,4.302636623,SPRING,1.5,0,0.37
0.279984862,1.311669707,84.92749786,0,-35.62374496,4.301025391,SPRING,1.5,0,0.37
0.299984872,0.438061416,-45.64875031,0,13.99987698,4.301025391,SPRING,1.5,0,0.37
0.319984853,0.395264328,-39.83874893,0,11.91437244,4.302636623,SPRING,1.5,0,0.37
0.339984864,0.363249362,13.49250031,0,-7.770166874,4.304247856,SPRING,1.5,0,0.37
0.359984875,0.045753695,-21.53375053,0,5.665789604,4.302636623,SPRING,1.5,0,0.37
0.379984856,-0.486513168,-42.79624939,0,14.33131409,4.304247856,SPRING,1.5,0,0.37
0.399984866,-0.334730864,-7.166249752,0,0.92054075,4.301025391,SPRING,1.5,0,0.37
0.419984877,-0.311697632,3.0625,0,-2.898646355,4.301025391,SPRING,1.5,0,0.37
0.439984858,-0.566598833,-25.56749916,0,8.076805115,4.302636623,SPRING,1.5,0,0.37
0.459984869,-0.810711205,20.71125031,0,-8.680163383,4.302636623,SPRING,1.5,0,0.37
0.47998485,-0.976714075,-23.10000038,0,7.77900362,4.304247856,SPRING,1.5,0,0.37
0.49998486,-0.929575264,-21.27124977,0,7.031657696,4.301025391,SPRING,1.5,0,0.37
0.519984841,-0.816415787,1.3125,0,-1.494069338,4.304247856,SPRING,1.5,0,0.37
0.539984882,-0.834681273,3.211249828,0,-2.169208527,4.301025391,SPRING,1.5,0,0.37
0.559984863,-0.881508589,-6.492499828,0,1.491419792,4.301025391,SPRING,1.5,0,0.37
0.579984844,-0.891347826,-9.93999958,0,2.718121529,4.241406441,SPRING,1.5,0,0.37
0.599984884,-0.88172853,-7.848749638,0,1.993562102,4.302636623,SPRING,1.5,0,0.37
0.619984865,-0.894180477,-5.451250076,0,1.125165224,4.299414158,SPRING,1.5,0,0.37
0.639984846,-0.387344182,40.49499893,0,-16.63520241,4.302636623,SPRING,1.5,0,0.37
0.659984887,-0.624574423,-32.06874847,0,10.56923103,4.297802925,SPRING,1.5,0,0.37
0.679984868,-0.463302761,-15.16374874,0,4.072473049,4.301025391,SPRING,1.5,0,0.37
